{'movement': 33, 'useless': 70, 'begin_time': 1649433265.309826, 'keys_per_min': 206.0, 'speed_of_mouse_moved': 358.83036689151896}
{'movement': 0, 'useless': 0, 'begin_time': 1649433295.3110304, 'keys_per_min': 0.0, 'speed_of_mouse_moved': 690.2586526204312}
{'movement': 15, 'useless': 36, 'begin_time': 1649433325.3119428, 'keys_per_min': 102.0, 'speed_of_mouse_moved': 885.3252524495217}
{'movement': 13, 'useless': 63, 'begin_time': 1649433355.3130145, 'keys_per_min': 152.0, 'speed_of_mouse_moved': 646.7766133609038}
{'movement': 0, 'useless': 0, 'begin_time': 1649433385.3138509, 'keys_per_min': 0.0, 'speed_of_mouse_moved': 743.8203858204113}
{'movement': 0, 'useless': 0, 'begin_time': 1649433415.31461, 'keys_per_min': 0.0, 'speed_of_mouse_moved': 457.64776794395164}
{'movement': 12, 'useless': 53, 'begin_time': 1649433445.3157778, 'keys_per_min': 130.0, 'speed_of_mouse_moved': 658.1474370566966}
{'movement': 10, 'useless': 27, 'begin_time': 1649433475.3168247, 'keys_per_min': 74.0, 'speed_of_mouse_moved': 655.0211210430657}
{'movement': 9, 'useless': 11, 'begin_time': 1649433505.3178947, 'keys_per_min': 40.0, 'speed_of_mouse_moved': 298.1056835936879}
{'movement': 2, 'useless': 2, 'begin_time': 1649433563.0584435, 'keys_per_min': 8.0, 'speed_of_mouse_moved': 1122.6567281861176}
{'movement': 10, 'useless': 11, 'begin_time': 1649433593.0601678, 'keys_per_min': 42.0, 'speed_of_mouse_moved': 315.19698901184097}
{'movement': 9, 'useless': 10, 'begin_time': 1649433623.0610418, 'keys_per_min': 38.0, 'speed_of_mouse_moved': 177.15759344823}
{'movement': 0, 'useless': 5, 'begin_time': 1649433653.0622659, 'keys_per_min': 10.0, 'speed_of_mouse_moved': 365.4123559404195}
{'movement': 0, 'useless': 0, 'begin_time': 1649433824.2815797, 'keys_per_min': 0.0, 'speed_of_mouse_moved': 316.1226791501439}
{'movement': 24, 'useless': 78, 'begin_time': 1649433854.2825851, 'keys_per_min': 204.0, 'speed_of_mouse_moved': 378.46356302020433}
{'movement': 0, 'useless': 1, 'begin_time': 1649433884.284193, 'keys_per_min': 2.0, 'speed_of_mouse_moved': 199.38429030284246}
{'movement': 0, 'useless': 0, 'begin_time': 1649433914.2855828, 'keys_per_min': 0.0, 'speed_of_mouse_moved': 154.8133280051661}
{'movement': 0, 'useless': 0, 'begin_time': 1649433944.2863116, 'keys_per_min': 0.0, 'speed_of_mouse_moved': 497.008317076845}
{'movement': 2, 'useless': 0, 'begin_time': 1649433974.2877743, 'keys_per_min': 4.0, 'speed_of_mouse_moved': 344.4876237233751}
{'movement': 0, 'useless': 0, 'begin_time': 1649434004.2886446, 'keys_per_min': 0.0, 'speed_of_mouse_moved': 61.0605193125372}
{'movement': 0, 'useless': 0, 'begin_time': 1649434034.2896616, 'keys_per_min': 0.0, 'speed_of_mouse_moved': 256.19018130727574}
{'movement': 0, 'useless': 4, 'begin_time': 1649434064.291176, 'keys_per_min': 8.0, 'speed_of_mouse_moved': 440.1183970427396}
{'movement': 0, 'useless': 0, 'begin_time': 1649434094.2922714, 'keys_per_min': 0.0, 'speed_of_mouse_moved': 69.36085273312975}
{'movement': 0, 'useless': 4, 'begin_time': 1649434124.293875, 'keys_per_min': 8.0, 'speed_of_mouse_moved': 421.0026669042219}
{'movement': 0, 'useless': 0, 'begin_time': 1649434154.2956932, 'keys_per_min': 0.0, 'speed_of_mouse_moved': 212.9659392372218}
{'movement': 0, 'useless': 0, 'begin_time': 1649434184.2968516, 'keys_per_min': 0.0, 'speed_of_mouse_moved': 166.38496493909403}
{'movement': 0, 'useless': 0, 'begin_time': 1649434214.2988534, 'keys_per_min': 0.0, 'speed_of_mouse_moved': 0.0}
{'movement': 0, 'useless': 0, 'begin_time': 1649434244.2990205, 'keys_per_min': 0.0, 'speed_of_mouse_moved': 0.0}
{'movement': 0, 'useless': 0, 'begin_time': 1649434274.3004935, 'keys_per_min': 0.0, 'speed_of_mouse_moved': 0.0}
{'movement': 0, 'useless': 0, 'begin_time': 1649434304.302269, 'keys_per_min': 0.0, 'speed_of_mouse_moved': 0.0}
{'movement': 0, 'useless': 0, 'begin_time': 1649434334.3034418, 'keys_per_min': 0.0, 'speed_of_mouse_moved': 0.0}
